date,netvalue
2026-04-27,1.2309
2026-04-28,1.2343
2026-04-29,1.2373
2026-04-30,1.2483
2026-05-01,1.242
2026-05-04,1.2363
2026-05-05,1.2301
2026-05-06,1.2202
2026-05-07,1.1926
2026-05-08,1.2026
2026-05-11,1.2112
2026-05-12,1.1952
2026-05-13,1.1907
2026-05-14,1.183
2026-05-15,1.1758
2026-05-18,1.154
2026-05-19,1.1476
2026-05-20,1.1536
2026-05-21,1.1798
2026-05-22,1.1838
2026-05-25,1.1851
2026-05-26,1.1798
2026-05-27,1.1736
2026-05-28,1.1834
2026-05-29,1.1864
2026-06-01,1.1798
2026-06-02,1.1693
2026-06-03,1.1676
2026-06-04,1.1622
2026-06-05,1.1622
2026-06-08,1.1598
2026-06-09,1.1638
2026-06-10,1.151
2026-06-11,1.162
2026-06-12,1.1906
2026-06-15,1.2031
2026-06-16,1.2054
2026-06-17,1.2147
2026-06-18,1.2041
2026-06-19,1.1875
2026-06-22,1.1956
2026-06-23,1.1899
2026-06-24,1.176
2026-06-25,1.167
2026-06-26,1.1555
2026-06-29,1.1569
2026-06-30,1.1628
2026-07-01,1.1718
2026-07-02,1.181
2026-07-03,1.1889
2026-07-06,1.1867
2026-07-07,1.1803
2026-07-08,1.1648
2026-07-09,1.176
2026-07-10,1.1742
2026-07-13,1.17
2026-07-14,1.1821
2026-07-15,1.1729
2026-07-16,1.1815
2026-07-17,1.2716
