date,netvalue
2026-04-27,1.1431
2026-04-28,1.136
2026-04-29,1.14
2026-04-30,1.1572
2026-05-01,1.1568
2026-05-04,1.1745
2026-05-05,1.145
2026-05-06,1.1541
2026-05-07,1.1551
2026-05-08,1.1518
2026-05-11,1.1528
2026-05-12,1.1307
2026-05-13,1.1283
2026-05-14,1.1322
2026-05-15,1.1486
2026-05-18,1.1429
2026-05-19,1.1339
2026-05-20,1.1284
2026-05-21,1.1385
2026-05-22,1.1421
2026-05-25,1.1363
2026-05-26,1.1419
2026-05-27,1.143
2026-05-28,1.1538
2026-05-29,1.146
2026-06-01,1.1423
2026-06-02,1.138
2026-06-03,1.1219
2026-06-04,1.1251
2026-06-05,1.128
2026-06-08,1.1281
2026-06-09,1.1255
2026-06-10,1.1101
2026-06-11,1.1056
2026-06-12,1.1019
2026-06-15,1.0933
2026-06-16,1.0916
2026-06-17,1.0959
2026-06-18,1.1162
2026-06-19,1.1181
2026-06-22,1.1209
2026-06-23,1.1201
2026-06-24,1.0994
2026-06-25,1.0991
2026-06-26,1.0998
2026-06-29,1.1264
2026-06-30,1.1243
2026-07-01,1.1276
2026-07-02,1.1272
2026-07-03,1.1145
2026-07-06,1.1269
2026-07-07,1.1352
2026-07-08,1.144
2026-07-09,1.1339
2026-07-10,1.1495
2026-07-13,1.1339
2026-07-14,1.1404
2026-07-15,1.165
2026-07-16,1.1538
2026-07-17,1.134
