date,netvalue
2026-04-27,1.088
2026-04-28,1.0963
2026-04-29,1.0983
2026-04-30,1.0863
2026-05-01,1.088
2026-05-04,1.0917
2026-05-05,1.0832
2026-05-06,1.0847
2026-05-07,1.0852
2026-05-08,1.0743
2026-05-11,1.0777
2026-05-12,1.0831
2026-05-13,1.0935
2026-05-14,1.1037
2026-05-15,1.0904
2026-05-18,1.0814
2026-05-19,1.0863
2026-05-20,1.0912
2026-05-21,1.0962
2026-05-22,1.1343
2026-05-25,1.14
2026-05-26,1.1515
2026-05-27,1.1613
2026-05-28,1.168
2026-05-29,1.1647
2026-06-01,1.1726
2026-06-02,1.1646
2026-06-03,1.1622
2026-06-04,1.1572
2026-06-05,1.158
2026-06-08,1.182
2026-06-09,1.1626
2026-06-10,1.1697
2026-06-11,1.1531
2026-06-12,1.1483
2026-06-15,1.1594
2026-06-16,1.1601
2026-06-17,1.1491
2026-06-18,1.1418
2026-06-19,1.1487
2026-06-22,1.1413
2026-06-23,1.1435
2026-06-24,1.144
2026-06-25,1.1374
2026-06-26,1.1592
2026-06-29,1.1657
2026-06-30,1.145
2026-07-01,1.1469
2026-07-02,1.1402
2026-07-03,1.1488
2026-07-06,1.1408
2026-07-07,1.1396
2026-07-08,1.1447
2026-07-09,1.1535
2026-07-10,1.1413
2026-07-13,1.138
2026-07-14,1.1332
2026-07-15,1.1267
2026-07-16,1.1444
2026-07-17,1.0936
