date,netvalue
2026-04-27,1.0053
2026-04-28,1.0107
2026-04-29,1.0027
2026-04-30,1.007
2026-05-01,1.0062
2026-05-04,0.9988
2026-05-05,1.0044
2026-05-06,0.9945
2026-05-07,0.9842
2026-05-08,0.9862
2026-05-11,0.9892
2026-05-12,0.9945
2026-05-13,0.9985
2026-05-14,1.0066
2026-05-15,1.0104
2026-05-18,1.0097
2026-05-19,1.0093
2026-05-20,1.0078
2026-05-21,1.0094
2026-05-22,1.0034
2026-05-25,1.0052
2026-05-26,1.0047
2026-05-27,1.0063
2026-05-28,1.0078
2026-05-29,0.9944
2026-06-01,0.9895
2026-06-02,0.9889
2026-06-03,0.9886
2026-06-04,0.99
2026-06-05,0.9917
2026-06-08,0.9999
2026-06-09,1.0016
2026-06-10,0.9999
2026-06-11,0.9912
2026-06-12,0.9838
2026-06-15,0.9867
2026-06-16,0.9925
2026-06-17,1.0008
2026-06-18,0.9963
2026-06-19,0.9947
2026-06-22,0.996
2026-06-23,1.0072
2026-06-24,1.0078
2026-06-25,1.0164
2026-06-26,1.0173
2026-06-29,1.0237
2026-06-30,1.0295
2026-07-01,1.0304
2026-07-02,1.0247
2026-07-03,1.0232
2026-07-06,1.0315
2026-07-07,1.0365
2026-07-08,1.034
2026-07-09,1.0321
2026-07-10,1.0224
2026-07-13,1.0305
2026-07-14,1.0355
2026-07-15,1.0347
2026-07-16,1.0358
2026-07-17,0.9992
