date,netvalue
2026-04-27,1.4535
2026-04-28,1.4816
2026-04-29,1.4589
2026-04-30,1.4905
2026-05-01,1.4779
2026-05-04,1.4561
2026-05-05,1.4521
2026-05-06,1.484
2026-05-07,1.4837
2026-05-08,1.4677
2026-05-11,1.4458
2026-05-12,1.444
2026-05-13,1.411
2026-05-14,1.3899
2026-05-15,1.415
2026-05-18,1.4369
2026-05-19,1.4347
2026-05-20,1.427
2026-05-21,1.428
2026-05-22,1.4674
2026-05-25,1.4743
2026-05-26,1.49
2026-05-27,1.4865
2026-05-28,1.4875
2026-05-29,1.4987
2026-06-01,1.5009
2026-06-02,1.4683
2026-06-03,1.4902
2026-06-04,1.4796
2026-06-05,1.5163
2026-06-08,1.5285
2026-06-09,1.5297
2026-06-10,1.5375
2026-06-11,1.5356
2026-06-12,1.527
2026-06-15,1.5306
2026-06-16,1.5464
2026-06-17,1.5381
2026-06-18,1.5271
2026-06-19,1.5208
2026-06-22,1.5377
2026-06-23,1.5638
2026-06-24,1.5704
2026-06-25,1.581
2026-06-26,1.5695
2026-06-29,1.5855
2026-06-30,1.5957
2026-07-01,1.5826
2026-07-02,1.5501
2026-07-03,1.5283
2026-07-06,1.5165
2026-07-07,1.5371
2026-07-08,1.5651
2026-07-09,1.5571
2026-07-10,1.5497
2026-07-13,1.5545
2026-07-14,1.5547
2026-07-15,1.5716
2026-07-16,1.562
2026-07-17,1.497
