date,netvalue
2026-04-27,1.286
2026-04-28,1.292
2026-04-29,1.2921
2026-04-30,1.2896
2026-05-01,1.2941
2026-05-04,1.2856
2026-05-05,1.2893
2026-05-06,1.2829
2026-05-07,1.2872
2026-05-08,1.2861
2026-05-11,1.2834
2026-05-12,1.2773
2026-05-13,1.2748
2026-05-14,1.2787
2026-05-15,1.2859
2026-05-18,1.2896
2026-05-19,1.2991
2026-05-20,1.3171
2026-05-21,1.3148
2026-05-22,1.3133
2026-05-25,1.3031
2026-05-26,1.3115
2026-05-27,1.3208
2026-05-28,1.3146
2026-05-29,1.319
2026-06-01,1.3277
2026-06-02,1.3294
2026-06-03,1.3355
2026-06-04,1.3367
2026-06-05,1.328
2026-06-08,1.3355
2026-06-09,1.3451
2026-06-10,1.3505
2026-06-11,1.3435
2026-06-12,1.3381
2026-06-15,1.3299
2026-06-16,1.3355
2026-06-17,1.3447
2026-06-18,1.3477
2026-06-19,1.3546
2026-06-22,1.3483
2026-06-23,1.3493
2026-06-24,1.3394
2026-06-25,1.3338
2026-06-26,1.3402
2026-06-29,1.3384
2026-06-30,1.3472
2026-07-01,1.3511
2026-07-02,1.3713
2026-07-03,1.3719
2026-07-06,1.3616
2026-07-07,1.3613
2026-07-08,1.3542
2026-07-09,1.3614
2026-07-10,1.3617
2026-07-13,1.3607
2026-07-14,1.3598
2026-07-15,1.3652
2026-07-16,1.3619
2026-07-17,1.2973
