date,netvalue
2026-04-27,1.0483
2026-04-28,1.0418
2026-04-29,1.0554
2026-04-30,1.0426
2026-05-01,1.0242
2026-05-04,1.0332
2026-05-05,1.0335
2026-05-06,1.0347
2026-05-07,1.0312
2026-05-08,1.0289
2026-05-11,1.0245
2026-05-12,1.0186
2026-05-13,1.015
2026-05-14,1.0111
2026-05-15,1.0033
2026-05-18,0.9982
2026-05-19,0.9752
2026-05-20,0.9814
2026-05-21,0.985
2026-05-22,0.9842
2026-05-25,0.9864
2026-05-26,0.9889
2026-05-27,0.9823
2026-05-28,0.9774
2026-05-29,0.9822
2026-06-01,0.9841
2026-06-02,1.003
2026-06-03,1.0183
2026-06-04,1.0272
2026-06-05,1.0199
2026-06-08,1.0146
2026-06-09,1.0051
2026-06-10,1.0078
2026-06-11,0.9824
2026-06-12,0.9782
2026-06-15,0.9754
2026-06-16,0.9616
2026-06-17,0.9688
2026-06-18,0.9586
2026-06-19,0.961
2026-06-22,0.9862
2026-06-23,0.9715
2026-06-24,0.9702
2026-06-25,0.9665
2026-06-26,0.9611
2026-06-29,0.9679
2026-06-30,0.978
2026-07-01,0.985
2026-07-02,0.9784
2026-07-03,1.0008
2026-07-06,0.9845
2026-07-07,0.975
2026-07-08,0.9766
2026-07-09,0.9774
2026-07-10,0.9819
2026-07-13,0.9964
2026-07-14,0.9953
2026-07-15,0.9964
2026-07-16,0.9909
2026-07-17,1.0526
