date,netvalue
2026-04-27,1.2262
2026-04-28,1.2228
2026-04-29,1.2252
2026-04-30,1.2421
2026-05-01,1.2493
2026-05-04,1.2466
2026-05-05,1.2566
2026-05-06,1.2532
2026-05-07,1.2364
2026-05-08,1.2281
2026-05-11,1.213
2026-05-12,1.2102
2026-05-13,1.2103
2026-05-14,1.2239
2026-05-15,1.2265
2026-05-18,1.2247
2026-05-19,1.2315
2026-05-20,1.2135
2026-05-21,1.2154
2026-05-22,1.2217
2026-05-25,1.2098
2026-05-26,1.219
2026-05-27,1.2217
2026-05-28,1.2183
2026-05-29,1.2235
2026-06-01,1.2421
2026-06-02,1.2436
2026-06-03,1.2456
2026-06-04,1.2418
2026-06-05,1.2348
2026-06-08,1.2417
2026-06-09,1.2346
2026-06-10,1.2352
2026-06-11,1.2313
2026-06-12,1.2352
2026-06-15,1.238
2026-06-16,1.2465
2026-06-17,1.2423
2026-06-18,1.2401
2026-06-19,1.232
2026-06-22,1.2284
2026-06-23,1.2315
2026-06-24,1.2377
2026-06-25,1.2301
2026-06-26,1.2373
2026-06-29,1.2484
2026-06-30,1.2519
2026-07-01,1.2676
2026-07-02,1.2611
2026-07-03,1.2507
2026-07-06,1.236
2026-07-07,1.2484
2026-07-08,1.2538
2026-07-09,1.2533
2026-07-10,1.2557
2026-07-13,1.2463
2026-07-14,1.2667
2026-07-15,1.2678
2026-07-16,1.2687
2026-07-17,1.1967
