date,netvalue
2026-04-27,1.3052
2026-04-28,1.3122
2026-04-29,1.3161
2026-04-30,1.2983
2026-05-01,1.2776
2026-05-04,1.3068
2026-05-05,1.3096
2026-05-06,1.3112
2026-05-07,1.3098
2026-05-08,1.3221
2026-05-11,1.3629
2026-05-12,1.3714
2026-05-13,1.3618
2026-05-14,1.3597
2026-05-15,1.3772
2026-05-18,1.3676
2026-05-19,1.3816
2026-05-20,1.3438
2026-05-21,1.3401
2026-05-22,1.3502
2026-05-25,1.3709
2026-05-26,1.3575
2026-05-27,1.3333
2026-05-28,1.3292
2026-05-29,1.3114
2026-06-01,1.3091
2026-06-02,1.309
2026-06-03,1.2885
2026-06-04,1.3009
2026-06-05,1.2985
2026-06-08,1.3154
2026-06-09,1.2867
2026-06-10,1.2711
2026-06-11,1.279
2026-06-12,1.2668
2026-06-15,1.2643
2026-06-16,1.2643
2026-06-17,1.2667
2026-06-18,1.2565
2026-06-19,1.2587
2026-06-22,1.247
2026-06-23,1.2571
2026-06-24,1.2554
2026-06-25,1.2577
2026-06-26,1.297
2026-06-29,1.2799
2026-06-30,1.3014
2026-07-01,1.2606
2026-07-02,1.2296
2026-07-03,1.2115
2026-07-06,1.1946
2026-07-07,1.1975
2026-07-08,1.2016
2026-07-09,1.198
2026-07-10,1.1958
2026-07-13,1.2034
2026-07-14,1.2155
2026-07-15,1.1963
2026-07-16,1.1912
2026-07-17,1.338
