date,netvalue
2026-04-27,1.0991
2026-04-28,1.1084
2026-04-29,1.1136
2026-04-30,1.1054
2026-05-01,1.1016
2026-05-04,1.1051
2026-05-05,1.0963
2026-05-06,1.1015
2026-05-07,1.0997
2026-05-08,1.097
2026-05-11,1.1022
2026-05-12,1.1054
2026-05-13,1.1028
2026-05-14,1.1112
2026-05-15,1.1033
2026-05-18,1.1078
2026-05-19,1.1121
2026-05-20,1.1099
2026-05-21,1.1122
2026-05-22,1.1031
2026-05-25,1.1098
2026-05-26,1.1085
2026-05-27,1.1047
2026-05-28,1.1123
2026-05-29,1.1072
2026-06-01,1.097
2026-06-02,1.0859
2026-06-03,1.0902
2026-06-04,1.0811
2026-06-05,1.0936
2026-06-08,1.0788
2026-06-09,1.0908
2026-06-10,1.0923
2026-06-11,1.0917
2026-06-12,1.0878
2026-06-15,1.0906
2026-06-16,1.0903
2026-06-17,1.0983
2026-06-18,1.0991
2026-06-19,1.1002
2026-06-22,1.0975
2026-06-23,1.0971
2026-06-24,1.0994
2026-06-25,1.0871
2026-06-26,1.0775
2026-06-29,1.0828
2026-06-30,1.084
2026-07-01,1.0827
2026-07-02,1.0828
2026-07-03,1.0853
2026-07-06,1.0815
2026-07-07,1.0759
2026-07-08,1.0773
2026-07-09,1.0704
2026-07-10,1.0733
2026-07-13,1.0614
2026-07-14,1.0686
2026-07-15,1.0719
2026-07-16,1.0737
2026-07-17,1.0984
