date,netvalue
2026-04-27,1.1522
2026-04-28,1.132
2026-04-29,1.1075
2026-04-30,1.1067
2026-05-01,1.1122
2026-05-04,1.1117
2026-05-05,1.0826
2026-05-06,1.0813
2026-05-07,1.0634
2026-05-08,1.0726
2026-05-11,1.0776
2026-05-12,1.0647
2026-05-13,1.0577
2026-05-14,1.0434
2026-05-15,1.0426
2026-05-18,1.0554
2026-05-19,1.0422
2026-05-20,1.0489
2026-05-21,1.0418
2026-05-22,1.0313
2026-05-25,1.0298
2026-05-26,1.0163
2026-05-27,1.0091
2026-05-28,0.9937
2026-05-29,1.019
2026-06-01,1.0195
2026-06-02,1.0104
2026-06-03,1.0132
2026-06-04,1.0117
2026-06-05,1.0088
2026-06-08,1.0168
2026-06-09,1.0268
2026-06-10,1.0198
2026-06-11,1.0123
2026-06-12,1.0087
2026-06-15,0.9793
2026-06-16,0.9605
2026-06-17,0.9775
2026-06-18,0.9983
2026-06-19,0.9952
2026-06-22,1.0025
2026-06-23,1.0066
2026-06-24,1.0471
2026-06-25,1.0623
2026-06-26,1.0605
2026-06-29,1.0476
2026-06-30,1.0262
2026-07-01,1.0289
2026-07-02,1.019
2026-07-03,1.0005
2026-07-06,0.9923
2026-07-07,0.9786
2026-07-08,1.0
2026-07-09,1.0114
2026-07-10,1.0113
2026-07-13,1.0307
2026-07-14,1.0317
2026-07-15,1.0204
2026-07-16,1.0405
2026-07-17,1.1384
