date,netvalue
2026-04-27,1.0976
2026-04-28,1.0956
2026-04-29,1.0971
2026-04-30,1.1062
2026-05-01,1.0937
2026-05-04,1.1261
2026-05-05,1.1104
2026-05-06,1.0917
2026-05-07,1.1095
2026-05-08,1.1218
2026-05-11,1.1316
2026-05-12,1.1416
2026-05-13,1.1414
2026-05-14,1.1272
2026-05-15,1.1284
2026-05-18,1.1178
2026-05-19,1.1331
2026-05-20,1.1308
2026-05-21,1.1178
2026-05-22,1.1128
2026-05-25,1.1193
2026-05-26,1.1105
2026-05-27,1.0978
2026-05-28,1.1016
2026-05-29,1.1053
2026-06-01,1.0975
2026-06-02,1.0904
2026-06-03,1.0939
2026-06-04,1.072
2026-06-05,1.0512
2026-06-08,1.0407
2026-06-09,1.0376
2026-06-10,1.0421
2026-06-11,1.0638
2026-06-12,1.0766
2026-06-15,1.0742
2026-06-16,1.0739
2026-06-17,1.059
2026-06-18,1.0587
2026-06-19,1.0544
2026-06-22,1.0592
2026-06-23,1.047
2026-06-24,1.0547
2026-06-25,1.0775
2026-06-26,1.0758
2026-06-29,1.0819
2026-06-30,1.0923
2026-07-01,1.0862
2026-07-02,1.0896
2026-07-03,1.0898
2026-07-06,1.0913
2026-07-07,1.0796
2026-07-08,1.08
2026-07-09,1.0875
2026-07-10,1.1098
2026-07-13,1.1247
2026-07-14,1.159
2026-07-15,1.1467
2026-07-16,1.1607
2026-07-17,1.0792
